"id","create_uid/id","create_date","info2","info3","info","devka_ins_id/id","devka_ins_id/auto_install","devka_ins_id/create_uid/id","devka_ins_id/create_date","devka_ins_id/icon","devka_ins_id/inst2_id/id","devka_ins_id/write_uid/id","devka_ins_id/write_date","devka_ins_id/sequence","devka_ins_id/uninst_id/id","devka_ins_id/uninst2_id/id","devka_ins_id/upg_id/id","devka_ins_id/upg2_id/id","devka_uninst_id/id","devka_uninst_id/auto_install","devka_uninst_id/create_uid/id","devka_uninst_id/create_date","devka_uninst_id/icon","devka_uninst_id/inst_id/id","devka_uninst_id/inst2_id/id","devka_uninst_id/write_uid/id","devka_uninst_id/write_date","devka_uninst_id/sequence","devka_uninst_id/uninst2_id/id","devka_uninst_id/upg_id/id","devka_uninst_id/upg2_id/id","devka_upg_id/id","devka_upg_id/auto_install","devka_upg_id/create_uid/id","devka_upg_id/create_date","devka_upg_id/icon","devka_upg_id/inst_id/id","devka_upg_id/inst2_id/id","devka_upg_id/write_uid/id","devka_upg_id/write_date","devka_upg_id/sequence","devka_upg_id/uninst_id/id","devka_upg_id/uninst2_id/id","devka_upg_id/upg2_id/id","devka2_ins_id/id","devka2_ins_id/auto_install","devka2_ins_id/create_uid/id","devka2_ins_id/create_date","devka2_ins_id/icon","devka2_ins_id/inst_id/id","devka2_ins_id/write_uid/id","devka2_ins_id/write_date","devka2_ins_id/sequence","devka2_ins_id/uninst_id/id","devka2_ins_id/uninst2_id/id","devka2_ins_id/upg_id/id","devka2_ins_id/upg2_id/id","devka2_uninst_id/id","devka2_uninst_id/auto_install","devka2_uninst_id/create_uid/id","devka2_uninst_id/create_date","devka2_uninst_id/icon","devka2_uninst_id/inst_id/id","devka2_uninst_id/inst2_id/id","devka2_uninst_id/write_uid/id","devka2_uninst_id/write_date","devka2_uninst_id/sequence","devka2_uninst_id/uninst_id/id","devka2_uninst_id/upg_id/id","devka2_uninst_id/upg2_id/id","devka2_upg_id/id","devka2_upg_id/auto_install","devka2_upg_id/create_uid/id","devka2_upg_id/create_date","devka2_upg_id/icon","devka2_upg_id/inst_id/id","devka2_upg_id/inst2_id/id","devka2_upg_id/write_uid/id","devka2_upg_id/write_date","devka2_upg_id/sequence","devka2_upg_id/uninst_id/id","devka2_upg_id/uninst2_id/id","devka2_upg_id/upg_id/id","write_uid/id","write_date","name","dt_date","bug_free","is_update"
"__export__.module_release_3","base.user_root","2018-03-12 17:47:27","","","","base.module_base_name_search_improved","False","base.user_root","2018-03-12 17:39:20","/base_name_search_improved/static/description/icon.png","","base.user_root","2018-03-15 08:57:35","99","","","base.module_product_extended","","","","","","","","","","","","","","","base.module_interface_stuff","False","base.user_root","2018-03-15 08:50:35","/interface_stuff/static/description/icon.png","","","base.user_root","2018-03-15 09:01:52","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","base.user_root","2018-03-15 08:55:52","Interface Ext","2018-03-15 08:55:50","False","True"
"","","","","","","base.module_bt_disable_partner_as_follower","False","base.user_root","2018-03-12 17:39:20","/bt_disable_partner_as_follower/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_bt_message_history_chatter","False","base.user_root","2018-03-12 17:39:20","/bt_message_history_chatter/static/description/icon.png","","base.user_root","2018-03-15 08:57:56","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_disable_openerp_online","False","base.user_root","2018-03-12 17:39:20","/disable_openerp_online/static/description/icon.png","","base.user_root","2018-03-15 08:58:10","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_ir_filters_extension","False","base.user_root","2018-03-12 17:39:20","/base/static/description/icon.png","","base.user_root","2018-03-15 08:58:22","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_quick_record_search_ept","False","base.user_root","2018-03-12 17:39:20","/quick_record_search_ept/static/description/icon.png","","base.user_root","2018-03-15 08:58:35","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_remove_export_option","False","base.user_root","2018-03-12 17:39:20","/remove_export_option/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_report_xls","False","base.user_root","2018-03-12 17:39:20","/report_xls/static/description/icon.png","","base.user_root","2018-03-15 08:58:57","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_report_xlsx","False","base.user_root","2018-03-12 17:39:20","/report_xlsx/static/description/icon.png","","base.user_root","2018-03-15 08:59:08","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_advanced_search_wildcard","False","base.user_root","2018-03-12 17:39:20","/base/static/description/icon.png","","base.user_root","2018-03-15 08:59:18","99","","","base.module_product_extended","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
